symbol,date,price
EWH,2022/01/31,23.71
EWJ,2022/01/31,64.08
EWL,2022/01/31,49.33
EWQ,2022/01/31,37.89
EWT,2022/01/31,64.89
EWU,2022/01/31,33.89
EWY,2022/01/31,72.39
EWZ,2022/01/31,31.62
FB,2022/01/31,313.26
FTV,2022/01/31,70.54
GOOG,2022/01/31,2713.97
GPC,2022/01/31,133.23
GSG,2022/01/31,19.12
HIG,2022/01/31,71.87
HIGH.L,2022/01/31,5.419
HST,2022/01/31,17.34
HYG,2022/01/31,84.7
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.75
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,112.57
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,59.58
IEUS,2022/01/31,64.89
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,47.24
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,451.77
IWM,2022/01/31,201.24
IXN,2022/01/31,59.54
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,148.6
KR,2022/01/31,43.59
LQD,2022/01/31,127.76
MCHI,2022/01/31,62.6
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,31.91
PG,2022/01/31,160.45
PPL,2022/01/31,29.68
PRU,2022/01/31,111.57
PYPL,2022/01/31,171.94
RE,2022/01/31,283.4
REET,2022/01/31,28.64
ROL,2022/01/31,30.85
ROST,2022/01/31,97.75
SEGA.L,2022/01/31,107.67
SHY,2022/01/31,84.95
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,142.39
UNH,2022/01/31,472.57
URI,2022/01/31,320.12
V,2022/01/31,226.17
VRSK,2022/01/31,196.13
VXX,2022/01/31,21.41
WRK,2022/01/31,46.16
XLB,2022/01/31,84.45
XLC,2022/01/31,73.95
XLE,2022/01/31,65.92
XLF,2022/01/31,39.06
XLI,2022/01/31,100.74
XLK,2022/01/31,161.97
XLP,2022/01/31,75.97
XLU,2022/01/31,69.25
XLV,2022/01/31,131.23
XLY,2022/01/31,184.95
XOM,2022/01/31,75.96
ABBV,2022/02/01,137
ACN,2022/02/01,353.42
AEP,2022/02/01,88.35
AIZ,2022/02/01,151.25
ALLE,2022/02/01,120
AMAT,2022/02/01,138.61
AMP,2022/02/01,308.1
AMZN,2022/02/01,3023.87
AVB,2022/02/01,244.48
AVY,2022/02/01,206.39
AXP,2022/02/01,183.54
BDX,2022/02/01,253.23
BF-B,2022/02/01,67.49
BMY,2022/02/01,65.19
BR,2022/02/01,153.33
CARR,2022/02/01,47.05
CDW,2022/02/01,189.4
CE,2022/02/01,157.63
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,28.08
COP,2022/02/01,91.54
CTAS,2022/02/01,387.32
CZR,2022/02/01,80.8
DG,2022/02/01,209.12
DPZ,2022/02/01,458.3
DRE,2022/02/01,57.21
DXC,2022/02/01,30.79
EWA,2022/02/01,23.14
EWC,2022/02/01,38.68
EWG,2022/02/01,32.28
EWH,2022/02/01,23.84
EWJ,2022/02/01,64.1
EWL,2022/02/01,50.02
EWQ,2022/02/01,38.42
EWT,2022/02/01,65.14
EWU,2022/02/01,34.28
EWY,2022/02/01,72.98
EWZ,2022/02/01,32.16
FB,2022/02/01,319
FTV,2022/02/01,70.63
GOOG,2022/02/01,2757.57
GPC,2022/02/01,134.28
GSG,2022/02/01,19.26
HIG,2022/02/01,72.12
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.37
HYG,2022/02/01,84.73
IAU,2022/02/01,34.27
ICLN,2022/02/01,18.72
IEAA.L,2022/02/01,5.266
IEF,2022/02/01,112.31
IEFM.L,2022/02/01,780.8
IEMG,2022/02/01,59.92
IEUS,2022/02/01,65.636
IEVL.L,2022/02/01,7.599
IGF,2022/02/01,47.51
INDA,2022/02/01,45.89
IUMO.L,2022/02/01,11.362
IUVL.L,2022/02/01,9.265
IVV,2022/02/01,454.89
IWM,2022/02/01,203.36
IXN,2022/02/01,59.72
JPEA.L,2022/02/01,5.764
JPM,2022/02/01,151.15
KR,2022/02/01,44.13
LQD,2022/02/01,127.73
MCHI,2022/02/01,62.99
MVEU.L,2022/02/01,54.08
OGN,2022/02/01,32.99
PG,2022/02/01,159.74
PPL,2022/02/01,29.52
PRU,2022/02/01,113.67
PYPL,2022/02/01,175.8
RE,2022/02/01,284.53
REET,2022/02/01,28.52
ROL,2022/02/01,31.03
ROST,2022/02/01,98.54
SEGA.L,2022/02/01,107.17
SHY,2022/02/01,84.92
SLV,2022/02/01,20.94
SPMV.L,2022/02/01,79.605
TLT,2022/02/01,141.72
UNH,2022/02/01,468.41
URI,2022/02/01,330.01
V,2022/02/01,232.36
VRSK,2022/02/01,196.57
VXX,2022/02/01,19.84
WRK,2022/02/01,46.32
XLB,2022/02/01,85.75
XLC,2022/02/01,74.59
XLE,2022/02/01,68.27
XLF,2022/02/01,39.6
XLI,2022/02/01,102.13
XLK,2022/02/01,162.39
XLP,2022/02/01,75.9
XLU,2022/02/01,68.33
XLV,2022/02/01,131.58
XLY,2022/02/01,186.07
XOM,2022/02/01,80.83
ABBV,2022/02/02,138.62
ACN,2022/02/02,359.47
AEP,2022/02/02,89.88
AIZ,2022/02/02,152.99
ALLE,2022/02/02,120.18
AMAT,2022/02/02,140.76
AMP,2022/02/02,313.21
AMZN,2022/02/02,3012.25
AVB,2022/02/02,251.63
AVY,2022/02/02,200.7
AXP,2022/02/02,184.16
BDX,2022/02/02,256.67
BF-B,2022/02/02,68.38
BMY,2022/02/02,64.8
BR,2022/02/02,154.3
CARR,2022/02/02,47.51
CDW,2022/02/02,194.6
CE,2022/02/02,158.85
CHTR,2022/02/02,600.24
CNC,2022/02/02,78.82
CNP,2022/02/02,28.32
COP,2022/02/02,92.21
CTAS,2022/02/02,391.45
CZR,2022/02/02,77.5
DG,2022/02/02,206.69
DPZ,2022/02/02,451.94
DRE,2022/02/02,58.86
DXC,2022/02/02,30.69
EWA,2022/02/02,23.28
EWC,2022/02/02,38.84
EWG,2022/02/02,32.36
EWH,2022/02/02,23.86
EWJ,2022/02/02,65.08
EWL,2022/02/02,50.03
EWQ,2022/02/02,38.58
EWT,2022/02/02,65.39
EWU,2022/02/02,34.59
EWY,2022/02/02,73.5
EWZ,2022/02/02,31.94
FB,2022/02/02,323
FTV,2022/02/02,71.62
GOOG,2022/02/02,2960.73
GPC,2022/02/02,135.24
GSG,2022/02/02,19.32
HIG,2022/02/02,73.12
HIGH.L,2022/02/02,5.449
HST,2022/02/02,17.18
HYG,2022/02/02,84.86
IAU,2022/02/02,34.38
ICLN,2022/02/02,18.64
IEAA.L,2022/02/02,5.26
IEF,2022/02/02,112.54
IEFM.L,2022/02/02,789.8
IEMG,2022/02/02,59.86
IEUS,2022/02/02,66.28
IEVL.L,2022/02/02,7.614
IGF,2022/02/02,47.85
INDA,2022/02/02,46.16
IUMO.L,2022/02/02,11.445
IUVL.L,2022/02/02,9.298
IVV,2022/02/02,459.26
IWM,2022/02/02,201.34
IXN,2022/02/02,60.16
JPEA.L,2022/02/02,5.805
JPM,2022/02/02,149.94
KR,2022/02/02,44.1
LQD,2022/02/02,127.74
MCHI,2022/02/02,62.45
MVEU.L,2022/02/02,54.375
OGN,2022/02/02,33.33
PG,2022/02/02,162.6
PPL,2022/02/02,29.71
PRU,2022/02/02,114.8
PYPL,2022/02/02,132.57
RE,2022/02/02,290.21
REET,2022/02/02,28.83
ROL,2022/02/02,31.46
ROST,2022/02/02,97.33
SEGA.L,2022/02/02,107.26
SHY,2022/02/02,84.94
SLV,2022/02/02,20.93
SPMV.L,2022/02/02,80.895
TLT,2022/02/02,142.2
UNH,2022/02/02,479.78
URI,2022/02/02,326.22
V,2022/02/02,235.42
VRSK,2022/02/02,200.11
VXX,2022/02/02,19.42
WRK,2022/02/02,45.86
XLB,2022/02/02,86.02
XLC,2022/02/02,76.08
XLE,2022/02/02,68.49
XLF,2022/02/02,39.87
XLI,2022/02/02,102.84
XLK,2022/02/02,163.71
XLP,2022/02/02,76.81
XLU,2022/02/02,69.34
XLV,2022/02/02,133.35
XLY,2022/02/02,184.96
XOM,2022/02/02,80.62
ABBV,2022/02/03,140.73
ACN,2022/02/03,345.55
AEP,2022/02/03,90.19
AIZ,2022/02/03,151.8
ALLE,2022/02/03,116.11
AMAT,2022/02/03,136.51
AMP,2022/02/03,304.25
AMZN,2022/02/03,2776.91
AVB,2022/02/03,250.21
AVY,2022/02/03,193.13
AXP,2022/02/03,184.04
BDX,2022/02/03,270.58
BF-B,2022/02/03,68.04
BMY,2022/02/03,64.07
BR,2022/02/03,148.39
CARR,2022/02/03,46.24
CDW,2022/02/03,192.97
CE,2022/02/03,159.87
CHTR,2022/02/03,610.45
CNC,2022/02/03,81.53
CNP,2022/02/03,28.15
COP,2022/02/03,90.87
CTAS,2022/02/03,385.08
CZR,2022/02/03,76.36
DG,2022/02/03,205.37
DPZ,2022/02/03,443.79
DRE,2022/02/03,58.8
DXC,2022/02/03,34.91
EWA,2022/02/03,23.02
EWC,2022/02/03,38.18
EWG,2022/02/03,32.07
EWH,2022/02/03,23.75
EWJ,2022/02/03,63.72
EWL,2022/02/03,48.98
EWQ,2022/02/03,38.12
EWT,2022/02/03,64.59
EWU,2022/02/03,34.24
EWY,2022/02/03,71.98
EWZ,2022/02/03,31.69
FB,2022/02/03,237.76
FTV,2022/02/03,66.05
GOOG,2022/02/03,2853.01
GPC,2022/02/03,132.76
GSG,2022/02/03,19.4
HIG,2022/02/03,72.19
HIGH.L,2022/02/03,5.413
HST,2022/02/03,17.08
HYG,2022/02/03,84.1
IAU,2022/02/03,34.36
ICLN,2022/02/03,18.17
IEAA.L,2022/02/03,5.216
IEF,2022/02/03,112.06
IEFM.L,2022/02/03,778.95
IEMG,2022/02/03,59.22
IEUS,2022/02/03,65.115
IEVL.L,2022/02/03,7.552
IGF,2022/02/03,47.63
INDA,2022/02/03,45.53
IUMO.L,2022/02/03,11.405
IUVL.L,2022/02/03,9.35
IVV,2022/02/03,448.6
IWM,2022/02/03,197.53
IXN,2022/02/03,58.36
JPEA.L,2022/02/03,5.769
JPM,2022/02/03,148.7
KR,2022/02/03,45.11
LQD,2022/02/03,126.71
MCHI,2022/02/03,62.03
MVEU.L,2022/02/03,53.36
OGN,2022/02/03,32.92
PG,2022/02/03,164.14
PPL,2022/02/03,29.68
PRU,2022/02/03,113.39
PYPL,2022/02/03,124.3
RE,2022/02/03,285.24
REET,2022/02/03,28.5
ROL,2022/02/03,30.72
ROST,2022/02/03,94.38
SEGA.L,2022/02/03,107.08
SHY,2022/02/03,84.87
SLV,2022/02/03,20.71
SPMV.L,2022/02/03,80.675
TLT,2022/02/03,141.09
UNH,2022/02/03,488.77
URI,2022/02/03,324.43
V,2022/02/03,231.54
VRSK,2022/02/03,196.94
VXX,2022/02/03,21.78
WRK,2022/02/03,46.13
XLB,2022/02/03,84.52
XLC,2022/02/03,70.99
XLE,2022/02/03,67.84
XLF,2022/02/03,39.43
XLI,2022/02/03,101.2
XLK,2022/02/03,158.96
XLP,2022/02/03,76.83
XLU,2022/02/03,69.03
XLV,2022/02/03,132.78
XLY,2022/02/03,179.3
XOM,2022/02/03,79.68
ABBV,2022/02/04,140.65
ACN,2022/02/04,347.5
AEP,2022/02/04,89.17
AIZ,2022/02/04,153.07
ALLE,2022/02/04,119.25
AMAT,2022/02/04,135.57
AMP,2022/02/04,308.1
AMZN,2022/02/04,3152.79
AVB,2022/02/04,247.3
AVY,2022/02/04,189.31
AXP,2022/02/04,185.85
BDX,2022/02/04,268.85
BF-B,2022/02/04,67.15
BMY,2022/02/04,64.99
BR,2022/02/04,149.88
CARR,2022/02/04,45.84
CDW,2022/02/04,192.3
CE,2022/02/04,156.51
CHTR,2022/02/04,608.92
CNC,2022/02/04,80.57
CNP,2022/02/04,27.89
COP,2022/02/04,91.87
CTAS,2022/02/04,381.81
CZR,2022/02/04,78.83
DG,2022/02/04,202.36
DPZ,2022/02/04,438.07
DRE,2022/02/04,57.68
DXC,2022/02/04,36.03
EWA,2022/02/04,23.11
EWC,2022/02/04,38.39
EWG,2022/02/04,31.98
EWH,2022/02/04,24.07
EWJ,2022/02/04,64.22
EWL,2022/02/04,48.87
EWQ,2022/02/04,38.22
EWT,2022/02/04,64.48
EWU,2022/02/04,34.15
EWY,2022/02/04,72.72
EWZ,2022/02/04,31.68
FB,2022/02/04,237.09
FTV,2022/02/04,64.39
GOOG,2022/02/04,2860.32
GPC,2022/02/04,129.82
GSG,2022/02/04,19.67
HIG,2022/02/04,70.52
HIGH.L,2022/02/04,5.365
HST,2022/02/04,17.46
HYG,2022/02/04,83.77
IAU,2022/02/04,34.39
ICLN,2022/02/04,18.34
IEAA.L,2022/02/04,5.173
IEF,2022/02/04,111.2
IEFM.L,2022/02/04,772.6
IEMG,2022/02/04,59.4
IEUS,2022/02/04,64.75
IEVL.L,2022/02/04,7.468
IGF,2022/02/04,47.47
INDA,2022/02/04,45.38
IUMO.L,2022/02/04,11.305
IUVL.L,2022/02/04,9.162
IVV,2022/02/04,450.85
IWM,2022/02/04,198.38
IXN,2022/02/04,58.64
JPEA.L,2022/02/04,5.735
JPM,2022/02/04,152.56
KR,2022/02/04,44.77
LQD,2022/02/04,125.45
MCHI,2022/02/04,62.4
MVEU.L,2022/02/04,52.64
OGN,2022/02/04,33.12
PG,2022/02/04,161.53
PPL,2022/02/04,29.41
PRU,2022/02/04,118.34
PYPL,2022/02/04,126.08
RE,2022/02/04,285.99
REET,2022/02/04,28.27
ROL,2022/02/04,30.45
ROST,2022/02/04,94.16
SEGA.L,2022/02/04,107.16
SHY,2022/02/04,84.7
SLV,2022/02/04,20.79
SPMV.L,2022/02/04,80.02
TLT,2022/02/04,139.01
UNH,2022/02/04,483.17
URI,2022/02/04,312.29
V,2022/02/04,228.39
VRSK,2022/02/04,197.75
VXX,2022/02/04,21
WRK,2022/02/04,45.37
XLB,2022/02/04,83.12
XLC,2022/02/04,71.17
XLE,2022/02/04,68.9
XLF,2022/02/04,40.1
XLI,2022/02/04,100.11
XLK,2022/02/04,159.6
XLP,2022/02/04,75.89
XLU,2022/02/04,68.48
XLV,2022/02/04,132.3
XLY,2022/02/04,184.4
XOM,2022/02/04,81.41
ABBV,2022/02/07,142.53
ACN,2022/02/07,343.96
AEP,2022/02/07,89.81
AIZ,2022/02/07,152.74
ALLE,2022/02/07,120.46
AMAT,2022/02/07,136.13
AMP,2022/02/07,311.91
AMZN,2022/02/07,3158.71
AVB,2022/02/07,244.37
AVY,2022/02/07,181.47
AXP,2022/02/07,187.87
BDX,2022/02/07,269.27
BF-B,2022/02/07,67.18
BMY,2022/02/07,66.19
BR,2022/02/07,147.87
CARR,2022/02/07,45.72
CDW,2022/02/07,191.31
CE,2022/02/07,155.1
CHTR,2022/02/07,610.75
CNC,2022/02/07,80.79
CNP,2022/02/07,28.08
COP,2022/02/07,92.94
CTAS,2022/02/07,379.87
CZR,2022/02/07,80.75
DG,2022/02/07,200.59
DPZ,2022/02/07,434.36
DRE,2022/02/07,57.31
DXC,2022/02/07,37.33
EWA,2022/02/07,23.3
EWC,2022/02/07,38.56
EWG,2022/02/07,31.98
EWH,2022/02/07,24.13
EWJ,2022/02/07,64.26
EWL,2022/02/07,48.87
EWQ,2022/02/07,38.27
EWT,2022/02/07,64.76
EWU,2022/02/07,34.34
EWY,2022/02/07,72.96
EWZ,2022/02/07,32.05
FB,2022/02/07,224.91
FTV,2022/02/07,63.88
GOOG,2022/02/07,2778.76
GPC,2022/02/07,128.21
GSG,2022/02/07,19.63
HIG,2022/02/07,70.23
HIGH.L,2022/02/07,5.332
HST,2022/02/07,17.84
HYG,2022/02/07,83.71
IAU,2022/02/07,34.66
ICLN,2022/02/07,18.23
IEAA.L,2022/02/07,5.154
IEF,2022/02/07,111.23
IEFM.L,2022/02/07,778.9
IEMG,2022/02/07,59.35
IEUS,2022/02/07,64.29
IEVL.L,2022/02/07,7.509
IGF,2022/02/07,47.45
INDA,2022/02/07,44.93
IUMO.L,2022/02/07,11.44
IUVL.L,2022/02/07,9.232
IVV,2022/02/07,449.25
IWM,2022/02/07,199.36
IXN,2022/02/07,58.21
JPEA.L,2022/02/07,5.728
JPM,2022/02/07,153.07
KR,2022/02/07,44.67
LQD,2022/02/07,125.68
MCHI,2022/02/07,61.97
MVEU.L,2022/02/07,52.76
OGN,2022/02/07,33.52
PG,2022/02/07,160.32
PPL,2022/02/07,29.29
PRU,2022/02/07,119.27
PYPL,2022/02/07,121.41
RE,2022/02/07,286.76
REET,2022/02/07,28.14
ROL,2022/02/07,30.49
ROST,2022/02/07,93.35
SEGA.L,2022/02/07,106.82
SHY,2022/02/07,84.72
SLV,2022/02/07,21.27
SPMV.L,2022/02/07,80.11
TLT,2022/02/07,139.1
UNH,2022/02/07,483.7
URI,2022/02/07,315.78
V,2022/02/07,227.16
VRSK,2022/02/07,197.03
VXX,2022/02/07,20.42
WRK,2022/02/07,45.29
XLB,2022/02/07,82.71
XLC,2022/02/07,69.93
XLE,2022/02/07,69.78
XLF,2022/02/07,40.22
XLI,2022/02/07,100.19
XLK,2022/02/07,158.54
XLP,2022/02/07,76.03
XLU,2022/02/07,68.38
XLV,2022/02/07,132.07
XLY,2022/02/07,184.02
XOM,2022/02/07,82.39
ABBV,2022/02/08,143.51
ACN,2022/02/08,345.07
AEP,2022/02/08,90.2
AIZ,2022/02/08,156.04
ALLE,2022/02/08,121.72
AMAT,2022/02/08,138.75
AMP,2022/02/08,315.32
AMZN,2022/02/08,3228.27
AVB,2022/02/08,240.49
AVY,2022/02/08,184.34
AXP,2022/02/08,194
BDX,2022/02/08,276.49
BF-B,2022/02/08,67.46
BMY,2022/02/08,65.89
BR,2022/02/08,148.8
CARR,2022/02/08,46.06
CDW,2022/02/08,194.76
CE,2022/02/08,158.28
CHTR,2022/02/08,609.12
CNC,2022/02/08,85.67
CNP,2022/02/08,28.19
COP,2022/02/08,91.33
CTAS,2022/02/08,383.55
CZR,2022/02/08,82.36
DG,2022/02/08,202.77
DPZ,2022/02/08,438.73
DRE,2022/02/08,57.09
DXC,2022/02/08,38.82
EWA,2022/02/08,23.74
EWC,2022/02/08,38.76
EWG,2022/02/08,32.1
EWH,2022/02/08,24.34
EWJ,2022/02/08,64.63
EWL,2022/02/08,48.85
EWQ,2022/02/08,38.45
EWT,2022/02/08,65.42
EWU,2022/02/08,34.49
EWY,2022/02/08,73.18
EWZ,2022/02/08,32.11
FB,2022/02/08,220.18
FTV,2022/02/08,65.57
GOOG,2022/02/08,2784.26
GPC,2022/02/08,130.12
GSG,2022/02/08,19.41
HIG,2022/02/08,72.76
HIGH.L,2022/02/08,5.352
HST,2022/02/08,18.17
HYG,2022/02/08,83.62
IAU,2022/02/08,34.73
ICLN,2022/02/08,18.27
IEAA.L,2022/02/08,5.158
IEF,2022/02/08,110.87
IEFM.L,2022/02/08,771.2
IEMG,2022/02/08,59.86
IEUS,2022/02/08,64.33
IEVL.L,2022/02/08,7.569
IGF,2022/02/08,47.78
INDA,2022/02/08,45.09
IUMO.L,2022/02/08,11.415
IUVL.L,2022/02/08,9.252
IVV,2022/02/08,452.82
IWM,2022/02/08,202.76
IXN,2022/02/08,58.95
JPEA.L,2022/02/08,5.695
JPM,2022/02/08,155.95
KR,2022/02/08,45.5
LQD,2022/02/08,125.21
MCHI,2022/02/08,62.66
MVEU.L,2022/02/08,52.68
OGN,2022/02/08,33.75
PG,2022/02/08,159.96
PPL,2022/02/08,29.53
PRU,2022/02/08,121.33
PYPL,2022/02/08,120.26
RE,2022/02/08,290.37
REET,2022/02/08,28.02
ROL,2022/02/08,30.41
ROST,2022/02/08,95.48
SEGA.L,2022/02/08,106.03
SHY,2022/02/08,84.63
SLV,2022/02/08,21.45
SPMV.L,2022/02/08,80.16
TLT,2022/02/08,138.17
UNH,2022/02/08,493.41
URI,2022/02/08,323.39
V,2022/02/08,227.94
VRSK,2022/02/08,198.19
VXX,2022/02/08,19.5
WRK,2022/02/08,47.12
XLB,2022/02/08,83.99
XLC,2022/02/08,69.9
XLE,2022/02/08,68.28
XLF,2022/02/08,40.78
XLI,2022/02/08,101.19
XLK,2022/02/08,160.5
XLP,2022/02/08,76.32
XLU,2022/02/08,68.43
XLV,2022/02/08,133.15
XLY,2022/02/08,186.61
XOM,2022/02/08,80.26
ABBV,2022/02/09,143.2
ACN,2022/02/09,355.53
AEP,2022/02/09,89.38
AIZ,2022/02/09,166.56
ALLE,2022/02/09,125.18
AMAT,2022/02/09,144.2
AMP,2022/02/09,319.16
AMZN,2022/02/09,3223.79
AVB,2022/02/09,248.75
AVY,2022/02/09,188.83
AXP,2022/02/09,196.4
BDX,2022/02/09,277.24
BF-B,2022/02/09,67.96
BMY,2022/02/09,67.14
BR,2022/02/09,150.86
CARR,2022/02/09,47.98
CDW,2022/02/09,189.96
CE,2022/02/09,160.6
CHTR,2022/02/09,614.75
CNC,2022/02/09,85.95
CNP,2022/02/09,28.25
COP,2022/02/09,92.95
CTAS,2022/02/09,391.57
CZR,2022/02/09,86.87
DG,2022/02/09,205.79
DPZ,2022/02/09,444.76
DRE,2022/02/09,58.54
DXC,2022/02/09,38.63
EWA,2022/02/09,24.12
EWC,2022/02/09,39.28
EWG,2022/02/09,32.62
EWH,2022/02/09,24.57
EWJ,2022/02/09,65.52
EWL,2022/02/09,49.72
EWQ,2022/02/09,39.12
EWT,2022/02/09,66.25
EWU,2022/02/09,34.76
EWY,2022/02/09,74.5
EWZ,2022/02/09,32.22
FB,2022/02/09,232
FTV,2022/02/09,66.48
GOOG,2022/02/09,2829.06
GPC,2022/02/09,132.1
GSG,2022/02/09,19.63
HIG,2022/02/09,73.02
HIGH.L,2022/02/09,5.378
HST,2022/02/09,18.45
HYG,2022/02/09,84.06
IAU,2022/02/09,34.87
ICLN,2022/02/09,18.93
IEAA.L,2022/02/09,5.173
IEF,2022/02/09,111.02
IEFM.L,2022/02/09,791.45
IEMG,2022/02/09,60.78
IEUS,2022/02/09,65.95
IEVL.L,2022/02/09,7.688
IGF,2022/02/09,48.47
INDA,2022/02/09,45.68
IUMO.L,2022/02/09,11.705
IUVL.L,2022/02/09,9.408
IVV,2022/02/09,459.5
IWM,2022/02/09,206.61
IXN,2022/02/09,60.23
JPEA.L,2022/02/09,5.734
JPM,2022/02/09,156.6
KR,2022/02/09,45.15
LQD,2022/02/09,125.63
MCHI,2022/02/09,64.04
MVEU.L,2022/02/09,53.19
OGN,2022/02/09,34.59
PG,2022/02/09,159.6
PPL,2022/02/09,29.53
PRU,2022/02/09,121.19
PYPL,2022/02/09,122.94
RE,2022/02/09,289.12
REET,2022/02/09,28.6
ROL,2022/02/09,31.35
ROST,2022/02/09,97.42
SEGA.L,2022/02/09,106.61
SHY,2022/02/09,84.62
SLV,2022/02/09,21.53
SPMV.L,2022/02/09,81.13
TLT,2022/02/09,138.43
UNH,2022/02/09,498.1
URI,2022/02/09,334.19
V,2022/02/09,230.87
VRSK,2022/02/09,199.06
VXX,2022/02/09,18.71
WRK,2022/02/09,47.4
XLB,2022/02/09,85.82
XLC,2022/02/09,71.87
XLE,2022/02/09,68.85
XLF,2022/02/09,41.04
XLI,2022/02/09,102.58
XLK,2022/02/09,164.06
XLP,2022/02/09,76.34
XLU,2022/02/09,68.73
XLV,2022/02/09,134.18
XLY,2022/02/09,189.08
XOM,2022/02/09,79
ABBV,2022/02/10,142.71
ACN,2022/02/10,342.39
AEP,2022/02/10,87.39
AIZ,2022/02/10,162.57
ALLE,2022/02/10,120.69
AMAT,2022/02/10,139.77
AMP,2022/02/10,315.9
AMZN,2022/02/10,3180.07
AVB,2022/02/10,242
AVY,2022/02/10,186.74
